method,model,dataset_version,test_file_sha256,metric,n_seeds,n_values,seed_list,seed_42,seed_43,seed_44,mean,std,ci_low,ci_high,ci_note
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_ndcg_at_3,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_query_coverage,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3.8-27B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_top_3_support_rate,1,0,42,,,,,,,,metric unavailable in source runs
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,json_parse_rate,3,3,"42,43,44",2.92,2.92,2.92,2.92,0.0,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,schema_validity_rate,3,3,"42,43,44",0.0,0.0,0.0,0.0,0.0,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_object_rate,3,3,"42,43,44",2.92,2.92,2.92,2.92,0.0,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,completeness_score,3,3,"42,43,44",0.0292,0.0292,0.0292,0.0292,0.0,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,top_1_accuracy,3,3,"42,43,44",2.55,2.92,2.92,2.796666666666667,0.21361959960016158,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,macro_f1,3,3,"42,43,44",0.0181,0.0199,0.0199,0.0193,0.001039230484541326,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_task_classification,3,3,"42,43,44",2.55,2.92,2.55,2.6733333333333333,0.2136195996001616,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_kpi_selection,3,3,"42,43,44",2.92,2.92,2.92,2.92,0.0,,,not reported for fewer than 5 independent seeds
ft,allenai/OLMo-2-0425-1B-Instruct,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_mapping_count,3,3,"42,43,44",2.92,2.92,2.92,2.92,0.0,,,not reported for fewer than 5 independent seeds
